Preguntas,Etiqueta,Testeada,Incluir,Comentarios
Is inflation in COUNTRY caused by too much growth in the money supply?,Inflación,No,Sí,
Is the monetary issue the main factor that explains inflation in COUNTRY?,Inflación,Sí,No,
Is the public sector deficit the main factor that explains inflation in COUNTRY?,Inflación,Sí,Sí,
Is the monetization of the deficit the main factor that explains inflation in COUNTRY?,Inflación,Sí,Sí,"En esta pregunta parece adaptarse a lo que dicen los gobiernos (en CFK y AF no es un tema, con MM y JM sí) "
Is it correct to affirm that inflation in COUNTRY is a multicausal phenomenon?,Inflación,Sí,Sí,
Is the increase in international prices the main factor that explains inflation in COUNTRY?,Inflación,Sí,Sí,
Do restrictions on the flow of financial capital promote the stability and soundness of countries' economies?,Control de capitales,Sí,Sí,
Do capital flow management measures hinder economic growth?,Control de capitales,No,Sí,
Do you think that the distribution of income in COUNTRY should be more equal?,Distribución del ingreso,No,Sí,
Is redistribution of income a legitimate role for the government in COUNTRY?,Distribución del ingreso,No,Sí,
"Within the framework of a fiscal consolidation program, should the government in COUNTRY prioritize social spending?",Gasto social,No,Sí,
"Within the framework of a fiscal consolidation program, should the government in COUNTRY prioritize not increasing taxes that affect the most vulnerable sectors?",Gasto social,No,Sí,
Do you think social spending plays a critical role in promoting inclusive growth and protecting vulnerable groups?,Gasto social,No,Sí,
Can you identify the most important welfare program in COUNTRY?,Gasto social/conocimiento,No,Sí,
What are the most significant problems that vulnerable groups are currently facing in COUNTRY?,Gasto social/conocimiento,No,Sí,
What are the most significant problems that women are currently facing in COUNTRY?,Gasto social/conocimiento,No,Sí,
